# age bin between 90 and 140 Myrs ago
#     R      phi
#    kpc     deg
   9.4550  -15.4637
   9.1368   48.5831
   7.8978  -30.2408
   9.3312 -177.1803
  11.5666  -19.0580
   9.5115  -15.7572
  13.8416   50.4716
   7.9811   -5.4055
  11.1709  -33.2185
  10.2238  -25.2781
   9.7458   47.5002
  15.1314    7.5103
  11.4278   39.5316
   0.9403  -32.8284
  10.7229   59.7248
   6.0487  -43.4507
  10.1703   51.1069
   7.3945   -3.3456
  11.6677  -37.8624
  10.3562   34.9105
   9.7986  102.3521
  10.6255  -19.2373
   7.6818 -166.6519
   9.5639    8.6312
   9.9533  -15.0795
   8.6566   60.1026
   8.7132   36.6421
   5.8762   20.1641
   9.8468  -28.4114
   8.8523  -23.1759
  13.0605   -2.7572
  10.5987   21.9506
  13.8780   37.2552
   8.7778   41.6727
   9.3938   21.1938
   9.2167   46.2016
  12.3733  -18.4057
   7.5674    5.1313
  10.3948   28.3860
  10.6386   -7.4062
  12.3245    7.1275
   9.8117  -24.8690
  10.5906   50.6367
   6.9603    6.4484
  13.7034   51.0725
  11.9010   94.0004
  10.5603   30.9252
  10.3792  -25.8850
   9.2151   33.1990
   8.7540   31.7685
   9.8306   43.1162
   8.9200   55.9255
   9.9017   83.1072
   6.2656 -130.8580
  11.4579   61.8138
  12.9735   73.1392
   8.6171   42.8157
  13.0959   59.0712
  10.6225   22.7074
  11.0262 -179.7515
   9.3281    1.4681
  10.2088  -12.9266
   8.0507   10.2318
   9.4894  -11.3758
   8.5823   61.2151
  16.0237   11.8028
  11.2370   31.0784
  12.9349    3.3722
  13.1631  -37.2522
   9.3377   45.4156
   7.7300    4.1948
   8.0367    9.5642
  11.4666   39.7856
   9.5284   20.6611
  13.1928    7.6141
   8.1932   -3.5968
   7.4774   14.2264
  12.5338  178.6020
  11.0425  -32.3216
   8.1485   50.2833
   4.1220   48.2960
   9.5157   57.5690
  12.9199   56.4973
   8.7606   25.0772
  10.9014   74.6709
  11.2910   62.4130
  14.1981   74.1523
   9.7585   72.4967
   9.9690   79.2113
   9.0043   37.7674
  12.1749   84.5119
  12.4309    7.5119
   8.6955   36.4220
   8.9844   16.1416
  10.6952   15.6837
  10.1596   44.4959
  13.0769   21.9105
  10.8197  -19.7673
   6.9321  -66.6123
  10.6431   -9.3140
   8.7212    0.1521
   9.3150   49.4122
   8.5511    8.6776
   9.5765   28.7051
   8.1748  -44.6628
  19.4514 -140.6924
  12.1166 -178.4217
   9.6887  -35.5827
  13.6589   85.3567
  14.4052   37.1194
  10.9134  -16.2501
   8.3725   26.0200
  11.0594   86.3349
  13.2658    6.0420
  10.3801   22.1017
  12.5284   -1.6645
  11.3931   81.6897
  11.2981   -9.3650
  11.7040   88.4968
  11.5710  -11.3625
  12.1220  -16.6840
  11.8258  118.2711
  10.2475  -11.0976
   8.9771   41.8484
   9.7371   57.9290
  13.6864  -16.1279
   7.8669    3.0197
   8.0873  -15.3157
  11.3161   -5.7974
   8.8167   40.6645
  13.3162   18.7160
  11.1599   63.2316
   9.5617   28.2306
  13.3185   77.6460
  16.7227   94.7473
   8.7010   21.9147
  10.0470  -19.8118
  10.9408  -10.3941
   7.7989    9.7305
   8.8848   65.8560
  11.7175  -37.2530
  10.3386   44.3788
   8.7594   44.8798
  13.9290  128.3675
   7.8119   72.8819
  11.3045    3.2744
  14.5271  -11.8205
  12.1886   80.0800
  13.3515   38.2420
   8.8685   56.5482
   9.6831  -19.6097
   6.5591  -10.5492
  10.6118   65.3960
  13.2348  -16.1744
  11.0473   -7.8075
  11.3403   49.4439
   9.6904   64.4491
  10.4811    8.0595
  13.0928   65.3804
  12.6880   -8.5648
  13.2738   64.7162
  10.0712   56.0620
  10.5515   54.4291
  11.3396   24.4542
  18.0247  -29.3988
  10.5842   26.8511
  10.2034   -2.5047
  11.2380    7.9920
  11.5493    5.1908
  11.1370 -148.4002
  11.6751   86.9892
   7.5844   15.6711
  11.4724   21.7526
  10.2603   33.0162
   9.8095    5.9941
  11.5887   76.3200
  10.6569   30.0003
  15.7672  172.7042
   8.8244   39.7141
  13.7726  -42.9480
   8.7825   59.4304
   8.4317   35.2531
   8.5637   40.4253
  13.5392   29.4648
  10.3453  -10.1186
  13.7866   22.5469
